,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
0,1,41346,1821,0.0603280067443847,0.0287866452729672
7,2,41346,3998,0.0309200286865234,0.1233113318117327
8,3,41346,5514,0.0204474925994873,0.2571738395345312
15,4,41346,6754,0.0155355930328369,0.4146038274427955
19,5,41346,6810,0.0129401683807373,0.5018885306310455
25,6,41346,1140,0.0104510784149169,0.1040264628721341
29,7,41346,1274,0.0091490745544433,0.1327982488143013
36,8,41346,1400,0.007986307144165,0.167179150371675
38,9,41346,1494,0.0068225860595703,0.2088342186189544
46,10,41346,1660,0.0063288211822509,0.2501412695422866
49,11,41346,1793,0.0056648254394531,0.3018518518518518
55,12,41346,1908,0.0051970481872558,0.3501238645747316
61,13,41346,2028,0.0047769546508789,0.404871231782791
65,14,41346,2160,0.0045356750488281,0.4541631623212784
72,15,41346,2295,0.0042557716369628,0.5142857142857142
73,16,41346,2416,0.0038845539093017,0.593138157490947
80,17,41346,2465,0.003711462020874,0.6333911479411576
86,18,41346,2628,0.0034816265106201,0.719852085187975
90,19,41346,2812,0.0034461021423339,0.7781928877819289
93,20,41346,2920,0.0031979084014892,0.8707969879967196
102,21,41346,3045,0.0030362606048583,0.9564193168433452
103,22,41346,3080,0.0028305053710937,1.0377358490566038
112,23,41346,3289,0.002772569656372,1.131309656892252
117,24,41346,3432,0.0026493072509765,1.2354211663066954
121,25,41346,3525,0.0025420188903808,1.322453573438379
125,26,41346,3666,0.0024635791778564,1.41914255298558
129,27,41346,3807,0.0023629665374755,1.5364746241549794
137,28,41346,3920,0.002387523651123,1.5658078689834232
142,29,41346,4060,0.0022716522216796,1.704450041981528
147,30,41346,4200,0.0021932125091552,1.8262854658115013
148,31,41346,4309,0.0021052360534667,1.9519818799547
156,32,41346,4448,0.0020766258239746,2.042709529276693
158,33,41346,4554,0.0019996166229248,2.171932753070228
163,34,41346,4692,0.0019340515136718,2.3136094674556213
172,35,41346,4725,0.0018961429595947,2.376461712561297
173,36,41346,4896,0.0018422603607177,2.534489452568914
182,37,41346,5069,0.0017979145050048,2.6887680678955044
187,38,41346,5168,0.0017411708831787,2.8306175544296863
192,39,41346,5304,0.0016865730285644,2.9991518235793047
194,40,41346,5440,0.0016889572143554,3.0717108977978542
199,41,41346,5576,0.0016031265258789,3.317073170731707
205,42,41346,5670,0.0015714168548583,3.441055985434684
211,43,41346,5848,0.0016343593597412,3.412399708242159
215,44,41346,5940,0.001514196395874,3.741143127066604
222,45,41346,6075,0.0015265941619873,3.795096048727159
225,46,41346,6026,0.0015585422515869,3.6873183417469786
232,47,41346,6345,0.0014455318450927,4.186046511627907
235,48,41346,6432,0.001361608505249,4.5049903694624405
239,49,41346,6566,0.0014185905456542,4.414117647058824
243,50,41346,6500,0.0013651847839355,4.540691582256375
250,51,41346,6783,0.0013353824615478,4.844134975897161
255,52,41346,6968,0.001296043395996,5.127299484915379
260,53,41346,6890,0.001267671585083,5.183374083129585
266,54,41346,7236,0.0012784004211425,5.39798582618426
272,55,41346,7095,0.0012509822845458,5.408805031446541
277,56,41346,7448,0.0012691020965576,5.596843885027241
279,57,41346,7581,0.0012166500091552,5.94238683127572
286,58,41346,7714,0.0012805461883544,5.744926456898157
288,59,41346,7847,0.0011622905731201,6.438564102564103
296,60,41346,7740,0.0011572837829589,6.378244746600742
299,61,41346,8113,0.0011460781097412,6.75098814229249
306,62,41346,8246,0.0011489391326904,6.844573562979871
311,63,41346,8316,0.0011146068572998,7.115294117647059
314,64,41346,8448,0.001091718673706,7.379777243939725
320,65,41346,8580,0.0011060237884521,7.398146152187971
326,66,41346,8448,0.0010676383972167,7.546225993747209
328,67,41346,8844,0.0010571479797363,7.978349120433018
335,68,41346,8976,0.0010707378387451,7.994655978623914
338,69,41346,9108,0.0010309219360351,8.425531914893616
344,70,41346,9240,0.0009894371032714,8.906024096385542
348,71,41346,9230,0.0009944438934326,8.85159434188444
356,72,41346,9432,0.0009932518005371,9.056168987037926
362,73,41346,9563,0.0009796619415283,9.30932100267705
367,74,41346,9768,0.0009725093841552,9.5788183378279
372,75,41346,9825,0.0009477138519287,9.88679245283019
376,76,41346,9956,0.000939130783081,10.11018024879411
382,77,41346,10087,0.0009272098541259,10.374903574183596
384,78,41346,10218,0.0009176731109619,10.618862042088857
392,79,41346,10349,0.0009102821350097,10.842325825039287
397,80,41346,10480,0.0008883476257324,11.250670960815889
401,81,41346,10611,0.0009245872497558,10.94481691593605
405,82,41346,10742,0.0009284019470214,11.034411915767848
410,83,41346,10873,0.0008940696716308,11.597866666666668
413,84,41346,11004,0.0008809566497802,11.91231393775372
421,85,41346,10965,0.0008625984191894,12.122719734660032
427,86,41346,11266,0.000870943069458,12.336162058581989
430,87,41346,11310,0.0008518695831298,12.661628883291351
437,88,41346,11528,0.0008225440979003,13.365797101449276
442,89,41346,11481,0.0008411407470703,13.017006802721088
443,90,41346,11790,0.0008258819580078,13.61431870669746
449,91,41346,11921,0.0008299350738525,13.698362539500144
453,92,41346,11960,0.0007991790771484,14.272076372315036
459,93,41346,12090,0.0007908344268798,14.57943925233645
463,94,41346,12220,0.0007688999176025,15.15658914728682
471,95,41346,12350,0.0007812976837158,15.07476350320415
477,96,41346,12480,0.0007579326629638,15.70305127398553
478,97,41346,12513,0.000779390335083,15.31110431324564
487,98,41346,12740,0.0007848739624023,15.479951397326852
491,99,41346,12870,0.0007474422454833,16.42105263157895
495,100,41346,13000,0.0007591247558593,16.331658291457288
501,101,41346,13130,0.0007615089416503,16.443331246086412
503,102,41346,13158,0.0007460117340087,16.820709491850433
512,103,41346,13390,0.0007145404815673,17.871204537871204
516,104,41346,13520,0.000739574432373,17.43391360412637
519,105,41346,13545,0.0007121562957763,18.13860060261132
524,106,41346,13780,0.0006992816925048,18.793044664166384
532,107,41346,13910,0.0007050037384033,18.816367940480216
534,108,41346,13932,0.0006964206695556,19.07839780896953
541,109,41346,14170,0.0007038116455078,19.20054200542005
547,110,41346,14190,0.0006780624389648,19.957805907173
549,111,41346,14430,0.0006818771362304,20.181818181818183
553,112,41346,14448,0.0006773471832275,20.342133051742344
561,113,41346,14464,0.0006735324859619,20.48
565,114,41346,14592,0.0006656646728515,20.9054441260745
568,115,41346,14950,0.0006566047668457,21.713870733478576
574,116,41346,15080,0.0007376670837402,19.49579831932773
578,117,41346,14976,0.0006124973297119,23.318022576878164
583,118,41346,15222,0.0006544589996337,22.181420765027323
588,119,41346,15113,0.000615119934082,23.431007751937983
594,120,41346,15240,0.000626802444458,23.187523773297837
602,121,41346,15609,0.0005981922149658,24.88481466719809
605,122,41346,15738,0.0006043910980224,24.83313609467456
608,123,41346,15867,0.0006074905395507,24.90894819466248
617,124,41346,16120,0.0006461143493652,23.793357933579337
619,125,41346,16125,0.0006396770477294,24.040253447633248
624,126,41346,16254,0.0005812644958496,26.667760459392944
629,127,41346,16256,0.0005981922149658,25.916301315265045
636,128,41346,16384,0.0006043910980224,25.852465483234717
638,129,41346,16512,0.0005981922149658,26.3244320446393
647,130,41346,16770,0.0006461143493652,24.75276752767528
651,131,41346,16899,0.0005662441253662,28.461473684210528
657,132,41346,16764,0.0005774497985839,27.68620974401321
658,133,41346,17157,0.0006067752838134,26.96581532416503
665,134,41346,17152,0.0005576610565185,29.332193244976487
671,135,41346,17415,0.0005531311035156,30.02586206896552
673,136,41346,17544,0.0005555152893066,30.11845493562232
682,137,41346,17673,0.0005357265472412,31.460614152202936
685,138,41346,17664,0.0005824565887451,28.92181743757675
691,139,41346,17931,0.0005450248718261,31.3753280839895
694,140,41346,17920,0.0005364418029785,31.857777777777777
702,141,41346,18048,0.0005688667297363,30.25649622799665
703,142,41346,18318,0.0005781650543212,30.21525773195876
709,143,41346,18447,0.0005550384521484,31.695876288659797
714,144,41346,18576,0.0005714893341064,30.99874843554443
719,145,41346,18705,0.0005421638488769,32.9023746701847
725,146,41346,18834,0.0005314350128173,33.79811574697174
732,147,41346,18963,0.0005276203155517,34.27564392227745
737,148,41346,19092,0.0005178451538085,35.16022099447514
738,149,41346,19221,0.0005691051483154,32.20946795140343
744,150,41346,19200,0.0005269050598144,34.751131221719454
751,151,41346,19479,0.0005285739898681,35.1447902571042
756,152,41346,19456,0.0005326271057128,34.83616830796777
759,153,41346,19737,0.000514268875122,36.60083449235049
767,154,41346,19866,0.0005135536193847,36.891364902506965
770,155,41346,19995,0.0005452632904052,34.971578487101006
775,156,41346,20124,0.0005533695220947,34.68160275743214
780,157,41346,20096,0.0005066394805908,37.82776470588235
786,158,41346,20382,0.0005388259887695,36.07433628318584
788,159,41346,20193,0.0004999637603759,38.51788268955651
797,160,41346,20640,0.0005302429199218,37.12230215827338
799,161,41346,20769,0.0005054473876953,39.18679245283019
807,162,41346,20736,0.0004932880401611,40.08893185113581
810,163,41346,20864,0.0004866123199462,40.88975992160706
817,164,41346,21156,0.0005075931549072,39.7482386096759
822,165,41346,20955,0.0005199909210205,38.43191196698762
823,166,41346,21248,0.0004975795745849,40.72448490656445
829,167,41346,21543,0.000497817993164,41.270114942528735
833,168,41346,21672,0.0005228519439697,39.52941176470589
840,169,41346,21801,0.0004963874816894,41.88472622478386
846,170,41346,21930,0.000493049621582,42.41779497098646
850,171,41346,22059,0.0004806518554687,43.767857142857146
854,172,41346,22188,0.0004756450653076,44.48721804511278
858,173,41346,22317,0.0004563331604003,46.63949843260188
866,174,41346,22446,0.0004494190216064,47.63076923076923
868,175,41346,22575,0.0005364418029785,40.13333333333333
874,176,41346,22704,0.0004744529724121,45.63618090452261
880,177,41346,22833,0.0004727840423583,46.05748865355522
883,178,41346,22962,0.0004675388336181,46.83732789393167
891,179,41346,22912,0.0004606246948242,47.43685300207039
894,180,41346,23220,0.0004944801330566,44.78302796528448
900,181,41346,23168,0.000446081161499,49.53073222875468
904,182,41346,23478,0.0004529953002929,49.42736842105264
909,183,41346,23595,0.0004663467407226,48.25153374233129
915,184,41346,23736,0.0004339218139648,52.167032967032966
921,185,41346,23865,0.0004365444183349,52.13544511196068
926,186,41346,23622,0.0004632472991943,48.62995367987648
932,187,41346,23936,0.0004267692565917,53.48826815642458
937,188,41346,24252,0.0004801750183105,48.166832174776566
939,189,41346,24003,0.0004305839538574,53.16279069767442
944,190,41346,24510,0.0004189014434814,55.79965850882186
950,191,41346,24639,0.0004894733428955,48.00584510472479
954,192,41346,24768,0.0004730224609375,49.935483870967744
959,193,41346,24897,0.0004177093505859,56.842465753424655
964,194,41346,25026,0.0004205703735351,56.74829931972789
968,195,41346,25155,0.0004286766052246,55.96218020022247
975,196,41346,25284,0.0004498958587646,53.59618441971383
981,197,41346,25216,0.0004303455352783,55.8803324099723
983,198,41346,25542,0.0004127025604248,59.02253032928943
989,199,41346,25671,0.0004305839538574,56.85714285714285
996,200,41346,25800,0.0004332065582275,56.79691799669785
1000,201,41346,25929,0.0004398822784423,56.21463414634146
1005,202,41346,26058,0.0004434585571289,56.03870967741936
1009,203,41346,26187,0.0004103183746337,60.86461359674608
1014,204,41346,26316,0.0004079341888427,61.5219170075979
1020,205,41346,26445,0.0004088878631591,61.67930029154519
1025,206,41346,26574,0.0004079341888427,62.125073056692
1028,207,41346,26703,0.0004236698150634,60.10804727068092
