Tamaño;tiempo (ms);loss;win_size;Tamaño en bytes;tiempo tardado;bw 
4000;20;5;10;299226;0.03773379325866699;7.562561999658804 
4000;20;5;10;299226;0.03731131553649902;7.648193233010639 
4000;20;5;10;299226;0.036376953125;7.844641359060403 
5000;20;5;10;299226;0.032183170318603516;8.866875083341975 
5000;20;5;10;299226;0.03639721870422363;7.840273547271405 
5000;20;5;10;299226;0.033405303955078125;8.542480301473107 
6000;20;5;10;299226;0.019729137420654297;14.46409667673716 
6000;20;5;10;299226;0.040680646896362305;7.0147397539662535 
6000;20;5;10;299226;0.038652658462524414;7.382781996163359 
7000;20;5;10;299226;0.03708624839782715;7.694608199240121 
7000;20;5;10;299226;0.060015201568603516;4.75486449336967 
7000;20;5;10;299226;0.03246498107910156;8.789906585982022 
8000;20;5;10;299226;0.03599429130554199;7.928039159838645 
8000;20;5;10;299226;0.03539299964904785;8.062728613867389 
8000;20;5;10;299226;0.0328977108001709;8.674285962763529 
4000;10;5;10;299226;0.03746986389160156;7.615831000254517 
4000;10;5;10;299226;0.03443431854248047;8.287201927604066 
4000;10;5;10;299226;0.03466677665710449;8.231632084619987 
5000;10;5;10;e;r;r 
5000;10;5;10;299226;0.035283803939819336;8.087681007628841 
5000;10;5;10;299226;0.03443455696105957;8.287144548532497 
6000;10;5;10;299226;0.04064321517944336;7.021200211180853 
6000;10;5;10;299226;0.03486490249633789;8.184854411422789 
6000;10;5;10;299226;0.03500247001647949;8.152686106626888 
7000;10;5;10;299226;0.037032127380371094;7.705853570600809 
7000;10;5;10;299226;0.038884878158569336;7.3386921732732455 
7000;10;5;10;299226;0.03337287902832031;8.550780133737213 
8000;10;5;10;299226;0.04018211364746094;7.1017705416053545 
8000;10;5;10;299226;0.020655393600463867;13.81547873261384 
8000;10;5;10;299226;0.03384900093078613;8.430504391680108 
4000;30;5;10;299226;0.034464120864868164;8.280035696249818 
4000;30;5;10;299226;0.03427767753601074;8.325072511146198 
4000;30;5;10;299226;0.03567767143249512;7.9983961829153385 
5000;30;5;10;299226;0.03586173057556152;7.9573446797194425 
5000;30;5;10;e;r;r 
5000;30;5;10;299226;0.03762006759643555;7.585423664364028 
6000;30;5;10;299226;0.05583071708679199;5.111239222619368 
6000;30;5;10;299226;0.03226494789123535;8.8444014217204 
6000;30;5;10;299226;0.03961491584777832;7.203452156695174 
7000;30;5;10;299226;0.03917193412780762;7.284913480909805 
7000;30;5;10;299226;0.0157010555267334;18.17483866069395 
7000;30;5;10;299226;0.027947425842285156;10.210749018938747 
8000;30;5;10;299226;0.04159116744995117;6.861171938594178 
8000;30;5;10;299226;0.03972315788269043;7.183823397014603 
4000;20;5;10;299226;0.03468751907348633;8.226709739500997 
4000;20;5;10;299226;0.0361781120300293;7.887756850443516 
4000;20;5;10;299226;0.034349918365478516;8.307564168413455 
5000;20;5;10;299226;0.03748369216918945;7.613021409762241 
5000;20;5;10;299226;0.035112857818603516;8.127055692111302 
5000;20;5;10;299226;0.03240633010864258;8.805815099836671 
6000;20;5;10;299226;0.013512134552001953;21.119102233828563 
6000;20;5;10;299226;0.04406619071960449;6.475807106104628 
6000;20;5;10;299226;0.03864455223083496;7.384330637250366 
